Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    4	 61.225228	 98.745328	 83.063311	 62.978844	  min	  0.999357	  1.000000	  0.999995	  0.999571	     
    5	 52.929145	 69.883242	 60.195895	 54.470102	  min	  0.993990	  0.999901	  0.999191	  0.995842	     
    6	 55.193616	 71.084920	 65.740461	 56.832565	     	  0.996335	  0.999931	  0.999747	  0.997503	     
    7	 62.211032	 70.745035	 63.595205	 63.119723	     	  0.999126	  0.999931	  0.999615	  0.999341	     
    8	 59.237543	 66.035048	 57.004730	 59.324379	     	  0.998618	  0.999798	  0.998815	  0.998848	     
    9	 55.540594	 64.056688	 56.632654	 56.403869	     	  0.996887	  0.999745	  0.998515	  0.997634	     
   10	 54.565798	 58.790951	 60.001960	 55.659720	     	  0.995599	  0.998945	  0.999042	  0.996731	     
   11	 53.873786	 58.143829	 59.919229	 55.006359	     	  0.995195	  0.999059	  0.999114	  0.996492	     
   12	 53.064867	 58.614006	 58.582309	 54.257325	  min	  0.994815	  0.998878	  0.998842	  0.996163	     
   13	 54.405791	 59.036980	 57.594051	 55.353067	     	  0.995552	  0.998708	  0.998145	  0.996510	     
   14	 54.025924	 56.796024	 55.407028	 54.600860	     	  0.994847	  0.998332	  0.997270	  0.995832	     
   15	 53.534226	 56.864907	 56.602322	 54.362820	     	  0.994382	  0.997751	  0.997344	  0.995437	     
   16	 53.089875	 56.473148	 56.172383	 53.924803	  min	  0.993863	  0.997560	  0.997159	  0.995028	     
